elapsed_s	mem_available	cached	dirty	writeback	swap_free_delta	cg_current	cg_peak	cg_max	cg_high	cg_headroom	cg_anon	cg_file	cg_file_mapped	cg_file_dirty	cg_file_writeback	cg_swap_current	cg_swap_max	event_high_delta	event_max_delta	event_oom_delta	event_oom_kill_delta	swap_event_max_delta	psi_full_avg10	pswpin_delta	pswpout_delta	host_oom_kill_delta	pack_version	pack_layers	health
26.4	105994678272	11369672704	686891008	538968064	0	20692144128	22346731520	107374182400	103079215104	86682038272	10449260544	10031509504	4002631680	681041920	538968064	0	0	0	0	0	0	0	0.03	0	0	0	2	2	0
27.4	108581580800	7710363648	17956864	0	0	15102033920	22346731520	107374182400	103079215104	92272148480	8573960192	6374395904	2156646400	12058624	0	0	0	0	0	0	0	0	0.03	0	0	0	2	2	0
28.4	106555764736	9587900416	18092032	0	0	19670212608	22346731520	107374182400	103079215104	87703969792	11255795712	8249720832	4032606208	12058624	0	0	0	0	0	0	0	0	0.03	0	0	0	2	2	0
29.4	107300401152	13010460672	3361153024	79691776	0	22377869312	22377869312	107374182400	103079215104	84996313088	10450063360	11672272896	4032606208	3350724608	81788928	0	0	0	0	0	0	0	0.02	0	0	0	2	2	0
30.4	106656325632	10244448256	667537408	8192	0	19538128896	22377869312	107374182400	103079215104	87836053504	10450063360	8906129408	4032606208	668467200	0	0	0	0	0	0	0	0	0.02	0	0	0	2	3	0
31.5	110101766144	6971944960	13242368	0	0	13614575616	22377869312	107374182400	103079215104	93759606784	7828148224	5638123520	1389604864	12058624	0	0	0	0	0	0	0	0	0.02	0	0	0	2	3	0
32.5	107704705024	9596600320	14364672	0	0	18890244096	22377869312	107374182400	103079215104	88483938304	10468073472	8258269184	4011241472	12058624	0	0	0	0	0	0	0	0	0.02	0	0	0	2	3	0
33.5	107243966464	11651813376	2067742720	0	0	20984111104	22377869312	107374182400	103079215104	86390071296	10450075648	10315575296	4011241472	2067267584	0	0	0	0	0	0	0	0	0.01	0	0	0	2	3	0
34.5	107230277632	13019156480	1431785472	538968064	0	22386843648	22386843648	107374182400	103079215104	84987338752	10450075648	11680821248	4011241472	1427636224	538968064	0	0	0	0	0	0	0	0.01	0	0	0	2	3	0
35.5	107211280384	13019152384	16728064	343932928	0	22386843648	22386843648	107374182400	103079215104	84987338752	10450075648	11680821248	4011241472	12058624	343932928	0	0	0	0	0	0	0	0.01	0	0	0	2	3	0
36.5	107164979200	11408572416	815521792	538968064	0	20732108800	22386843648	107374182400	103079215104	86642073600	10450075648	10070208512	4011241472	811712512	538968064	0	0	0	0	0	0	0	0.01	0	0	0	2	4	0
37.5	110718218240	6200098816	12320768	0	0	12031627264	22386843648	107374182400	103079215104	95342555136	7027507200	4859641856	4041388032	8503296	0	0	0	0	0	0	0	0	0.01	0	0	0	2	4	0
38.6	107979034624	9331535872	13733888	0	0	18338877440	22386843648	107374182400	103079215104	89035304960	10187042816	7989628928	3769425920	8503296	0	0	0	0	0	0	0	0	0.01	0	0	0	2	4	0
39.6	107261247488	9597845504	13959168	4096	0	19199889408	22386843648	107374182400	103079215104	88174292992	10783412224	8251744256	4032430080	8622080	0	0	0	0	0	0	0	0	0.0	0	0	0	2	4	0
40.6	107235872768	13020393472	2301952000	538968064	0	22380814336	22386843648	107374182400	103079215104	84993368064	10450075648	11674296320	4032430080	2296614912	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	4	0
